Date;Pair;Side;Price;Quantity;Amount;Fee;RealizedProfit
28/02/2021 04:06;SNXUSDT;BUY;17.49;5;87.4500000000 USDT;-0.0087449900 USDT;4.95
28/02/2021 04:06;ZILUSDT;BUY;0.1055;883;93.1565000000 USDT;-0.0093156500 USDT;5.8672
28/02/2021 04:06;ALGOUSDT;BUY;1.031;70.2;72.3762000000 USDT;-0.0072376200 USDT;2.54079
28/02/2021 04:07;SOLUSDT;BUY;12.07;6;72.4200000000 USDT;-0.0072420000 USDT;3.36
28/02/2021 06:01;COMPUSDT;SELL;368.6;0.246;90.6756000000 USDT;-0.0272026800 USDT;-3.53133
28/02/2021 06:01;FTMUSDT;SELL;0.421758;206;86.8821480000 USDT;-0.0260646400 USDT;-5.689926
28/02/2021 06:01;OCEANUSDT;SELL;0.8207;65;53.3455000000 USDT;-0.0053345500 USDT;-5.2734
28/02/2021 06:01;OCEANUSDT;SELL;0.8207;37;30.3659000000 USDT;-0.0030365900 USDT;0
28/02/2021 06:02;CRVUSDT;BUY;1.712;46;78.7520000000 USDT;-0.0078752000 USDT;0.855
28/02/2021 06:03;BATUSDT;BUY;0.4802;189.4;90.9498800000 USDT;-0.0090949800 USDT;5.58432
28/02/2021 06:03;LRCUSDT;BUY;0.4912;174;85.4688000000 USDT;-0.0085468800 USDT;3.8394
28/02/2021 06:27;OMGUSDT;SELL;4.207;21.5;90.4505000000 USDT;-0.0090450500 USDT;-2.55837
28/02/2021 06:28;XRPUSDT;SELL;0.416;221;91.9360000000 USDT;-0.0091936000 USDT;-0.18785
28/02/2021 08:02;VETUSDT;SELL;0.038405;1907;73.2383350000 USDT;-0.0219715000 USDT;-1.297275
28/02/2021 08:02;VETUSDT;SELL;0.038405;438;16.8213900000 USDT;-0.0050464100 USDT;-0.77307
28/02/2021 08:02;BANDUSDT;SELL;11.6476;7;81.5332000000 USDT;-0.0244599600 USDT;-3.39325
28/02/2021 08:02;EOSUSDT;SELL;3.429;27.2;93.2688000000 USDT;-0.0279806400 USDT;-3.2776
28/02/2021 08:02;SRMUSDT;SELL;4.7852;17;81.3484000000 USDT;-0.0244045200 USDT;-3.6702
28/02/2021 08:02;SRMUSDT;SELL;4.7851;1;4.7851000000 USDT;-0.0014355300 USDT;0
28/02/2021 10:01;QTUMUSDT;SELL;4.976;17.5;87.0800000000 USDT;-0.0261240000 USDT;-2.3936
28/02/2021 10:01;TRXUSDT;BUY;0.04448;2029;90.2499200000 USDT;-0.0270749700 USDT;3.18128
28/02/2021 10:01;THETAUSDT;BUY;3.026;28.6;86.5436000000 USDT;-0.0259630800 USDT;1.781
28/02/2021 10:02;STORJUSDT;SELL;0.6776;154;104.3504000000 USDT;-0.0313051200 USDT;3.8577
28/02/2021 10:04;FTMUSDT;BUY;0.4448;195;86.7360000000 USDT;-0.0086736000 USDT;-2.373326
28/02/2021 10:14;LTCUSDT;SELL;161.12;0.534;86.0380800000 USDT;-0.0086038000 USDT;-2.67
28/02/2021 10:14;ETCUSDT;SELL;10.32;8.24;85.0368000000 USDT;-0.0085036800 USDT;-2.67388
28/02/2021 10:14;CRVUSDT;SELL;1.763;47;82.8610000000 USDT;-0.0082860900 USDT;1.1985
28/02/2021 10:14;IOSTUSDT;SELL;0.0352;1999;70.3648000000 USDT;-0.0070364800 USDT;-5.76
28/02/2021 10:15;ENJUSDT;SELL;0.5296;156;82.6176000000 USDT;-0.0082617600 USDT;-3.75779999
28/02/2021 10:16;ZECUSDT;SELL;115.09;0.733;84.3609700000 USDT;-0.0084360900 USDT;-2.46257
28/02/2021 10:16;KNCUSDT;SELL;1.565;54;84.5100000000 USDT;-0.0084510000 USDT;-2.997
28/02/2021 10:16;LINKUSDT;SELL;24.39;3.46;84.3894000000 USDT;-0.0084389400 USDT;-2.25419
28/02/2021 10:17;BALUSDT;SELL;34.05;2.6;88.5300000000 USDT;-0.0088530000 USDT;-0.403
28/02/2021 10:17;LRCUSDT;SELL;0.4984;190;94.6960000000 USDT;-0.0094696000 USDT;0.684
28/02/2021 10:22;SOLUSDT;SELL;12.45;6;74.7000000000 USDT;-0.0074700000 USDT;1.14
28/02/2021 12:01;XTZUSDT;SELL;3.407;29;98.8030000000 USDT;-0.0296409000 USDT;1.0005
28/02/2021 12:01;OMGUSDT;BUY;4.259;21.3;90.7167000000 USDT;-0.0090716700 USDT;-0.5616
28/02/2021 12:01;NEOUSDT;SELL;35.36;2.09;73.9024000000 USDT;-0.0073902400 USDT;-1.97884
28/02/2021 12:01;NEOUSDT;SELL;35.36;0.36;12.7296000000 USDT;-0.0012729600 USDT;0
28/02/2021 12:01;ZILUSDT;SELL;0.1082;994;107.5508000000 USDT;-0.0107550800 USDT;1.3419
28/02/2021 12:01;TRXUSDT;SELL;0.04503;2171;97.7601300000 USDT;-0.0097760100 USDT;0.59675
28/02/2021 12:03;WAVESUSDT;SELL;9.002;9.4;84.6188000000 USDT;-0.0084618800 USDT;0.0188
28/02/2021 12:14;OCEANUSDT;BUY;0.8366;100;83.6600000000 USDT;-0.0083660000 USDT;-0.8109
28/02/2021 12:15;BANDUSDT;BUY;11.9;6.8;80.9200000000 USDT;-0.0080920000 USDT;-0.8834
28/02/2021 12:16;VETUSDT;BUY;0.03917;2291;89.7384700000 USDT;-0.0089738400 USDT;-0.89658
28/02/2021 12:16;MATICUSDT;BUY;0.2021;419;84.6799000000 USDT;-0.0084679900 USDT;0.2704
28/02/2021 14:01;KNCUSDT;BUY;1.512;56;84.6720000000 USDT;-0.0084671900 USDT;1.431
28/02/2021 14:01;ZILUSDT;BUY;0.1035;1039;107.5365000000 USDT;-0.0107536500 USDT;2.3359
28/02/2021 14:01;QTUMUSDT;BUY;4.77;18.2;86.8140000000 USDT;-0.0086814000 USDT;1.7922
28/02/2021 14:01;BALUSDT;BUY;32.877;2.7;88.7679000000 USDT;-0.0266303700 USDT;1.5249
28/02/2021 14:01;SRMUSDT;BUY;4.5189;19;85.8591000000 USDT;-0.0257577300 USDT;2.3966
28/02/2021 14:01;SOLUSDT;BUY;11.7625;7;82.3375000000 USDT;-0.0247012500 USDT;2.0625
28/02/2021 14:01;LRCUSDT;BUY;0.48295;68;32.8406000000 USDT;-0.0098521800 USDT;0
28/02/2021 14:01;STORJUSDT;BUY;0.6564;69;45.2916000000 USDT;-0.0135874800 USDT;1.4628
28/02/2021 14:01;STORJUSDT;BUY;0.6565;89;58.4285000000 USDT;-0.0175285500 USDT;0.1688
28/02/2021 14:01;LRCUSDT;BUY;0.48291;128;61.8124800000 USDT;-0.0185437400 USDT;1.47155
28/02/2021 14:01;ZECUSDT;BUY;112.48;0.749;84.2475200000 USDT;-0.0084247500 USDT;0.95526
28/02/2021 14:01;ETCUSDT;BUY;10.07;8.44;84.9908000000 USDT;-0.0084990700 USDT;1.03
28/02/2021 14:01;XTZUSDT;BUY;3.287;30;98.6100000000 USDT;-0.0098610000 USDT;1.74
28/02/2021 14:01;COMPUSDT;BUY;367.8;0.247;90.8466000000 USDT;-0.0090846600 USDT;0.0984
28/02/2021 14:01;CRVUSDT;BUY;1.686;49.1;82.7826000000 USDT;-0.0082782600 USDT;1.8095
